,0
1109,"[-5.0, 4.343959878939482]"
1110,10
1111,69.13043478260879
1112,"[-5.0, 4.343959878939482]"
1113,11
1114,69.13043478260879
1115,"[-5.0, 4.343959878939482]"
1116,12
1117,69.13043478260879
1118,"[-5.0, 4.343959878939482]"
1119,13
1120,69.13043478260879
1121,"[-5.0, 4.343959878939482]"
1122,14
1123,69.13043478260879
1124,"[-5.0, 4.343959878939482]"
1125,15
1126,69.13043478260879
1127,"[-5.0, 4.343959878939482]"
1128,16
1129,69.13043478260879
1130,"[-5.0, 4.343959878939482]"
1131,17
1132,69.13043478260879
1133,"[-5.0, 4.343959878939482]"
1134,18
1135,69.13043478260879
1136,"[-5.0, 4.343959878939482]"
1137,19
1138,69.13043478260879
1139,"[-5.0, 4.343959878939482]"
1140,20
1141,69.13043478260879
1142,"[-5.0, 4.343959878939482]"
1143,21
1144,69.13043478260879
1145,"[-5.0, 4.343959878939482]"
1146,22
1147,69.13043478260879
1148,"[-5.0, 4.343959878939482]"
1149,23
1150,69.13043478260879
1151,"[-5.0, 4.343959878939482]"
1152,24
1153,69.13043478260879
1154,"[-5.0, 4.343959878939482]"
1155,25
1156,69.13043478260879
1157,"[-5.0, 4.343959878939482]"
1158,26
1159,69.13043478260879
1160,"[-5.0, 4.343959878939482]"
1161,27
1162,69.13043478260879
1163,"[-5.0, 4.343959878939482]"
1164,28
1165,69.13043478260879
1166,"[-5.0, 4.343959878939482]"
1167,29
1168,69.13043478260879
1169,"[-5.0, 4.343959878939482]"
1170,30
1171,69.13043478260879
1172,"[-5.0, 4.343959878939482]"
1173,31
1174,69.13043478260879
1175,"[-5.0, 4.343959878939482]"
1176,32
1177,69.13043478260879
1178,"[-5.0, 4.343959878939482]"
1179,33
1180,70.00000000000009
1181,"[-5.0, 4.343959878939482]"
1182,34
1183,70.86956521739138
1184,"[-5.0, 4.343959878939482]"
1185,35
1186,70.86956521739138
1187,"[-5.0, 4.343959878939482]"
1188,36
1189,72.60869565217399
1190,"[-5.0, 4.343959878939482]"
1191,37
1192,68.26086956521748
1193,"[-5.0, 4.343959878939482]"
1194,38
1195,66.52173913043487
1196,"[-5.0, 4.343959878939482]"
1197,39
1198,63.91304347826095
1199,"[-5.0, 4.343959878939482]"
1200,40
1201,61.30434782608704
1202,"[-5.0, 4.343959878939482]"
1203,41
1204,63.04347826086965
1205,"[-5.0, 4.343959878939482]"
1206,42
1207,64.78260869565226
1208,"[-5.0, 4.343959878939482]"
1209,43
1210,68.26086956521748
1211,"[-5.0, 4.343959878939482]"
1212,44
1213,68.26086956521748
1214,"[-5.0, 4.343959878939482]"
1215,45
1216,68.26086956521748
